partyname_1,origname_1,cmp_id_1,rile_1,lrgen_1,cses_lr_1,cses_expert_1,tev_lr_1,country_1,electionyear_1,partyname_2,origname_2,cmp_id_2,rile_2,lrgen_2,cses_lr_2,cses_expert_2,tev_lr_2,country_2,electionyear_2
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,15.1,6.800000071525574,NA,NA,NA,Austria,1983
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs,42320,-21.2,3.0000001192092896,NA,NA,NA,Austria,1983
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Austrian People’s Party,Österreichische Volkspartei,42520,1,5.800000429153442,NA,NA,NA,Austria,1983
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Live Differently,Agalev; Groen!,21112,-3.922,4.4999998807907104,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Humanist Democratic Centre Christian People’s Party; Christian Democratic & Flemish,Centre Démocrate Humaniste Christelijke Volkspartij; Christen-Democratisch en Vlaams,NA,NA,5.800000429153442,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Christian People’s Party,Christen-Democratisch en Vlaams,21521,1.544,NA,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Peoples’ Union,De Volksunie,21913,2.488,NA,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Ecologists,Ecolo,21111,-1.517,4.4999998807907104,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Francophone Democratic Front of Francophones of Brussels,Front Démocratique des Francophones,21912,-10.531,5.600000023841858,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Party of Liberty and Progress,Open Vlaamse Liberalen en Democraten,21421,36.364,7.800000309944153,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Liberal Reformation Party,Parti Réformateur Libéral,21422,25.275,NA,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Liberal Reformist Party; Reformist Movement,Parti Réformateur Libéral; Mouvement Réformateur,21426,NA,7.599999904632568,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Christian Social Party,Parti Social Chrétien;,21522,8.543,6.299999952316284,NA,NA,NA,Belgium,1981
The Austrian Green Party,Die Grünen,42110,NA,NA,NA,NA,NA,Austria,1983,Francophone Socialist Party,Parti Socialiste,21322,-19.862,2.5,NA,NA,NA,Belgium,1981
